state,timestamp,new_votes,votes_biden
Georgia (EV: 16),2020-11-09 17:43:52.920,60,41.0
Georgia (EV: 16),2020-11-09 17:17:21.054,81,42.0
Georgia (EV: 16),2020-11-09 16:53:08.079,3,2.0
Georgia (EV: 16),2020-11-09 16:41:11.554,134,63.0
Georgia (EV: 16),2020-11-09 15:57:34.311,706,421.0
Georgia (EV: 16),2020-11-09 14:36:14.143,8,2.0
Georgia (EV: 16),2020-11-09 14:19:03.126,168,125.0
Georgia (EV: 16),2020-11-09 13:43:13.226,5,2.0
Georgia (EV: 16),2020-11-08 19:38:22.468,409,284.0
Georgia (EV: 16),2020-11-08 13:13:11.647,1,1.0
Georgia (EV: 16),2020-11-08 07:21:37.655,2246,1654.0
Georgia (EV: 16),2020-11-07 23:56:07.779,1982,1804.0
Georgia (EV: 16),2020-11-07 19:46:05.651,125,62.0
Georgia (EV: 16),2020-11-07 19:22:23.461,726,508.0
Georgia (EV: 16),2020-11-07 18:15:31.934,160,88.0
Georgia (EV: 16),2020-11-07 07:46:03.308,5110,3992.0
Georgia (EV: 16),2020-11-07 05:41:05.142,74,55.0
Georgia (EV: 16),2020-11-07 02:58:27.591,163,135.0
Georgia (EV: 16),2020-11-07 02:24:13.261,188,144.0
Georgia (EV: 16),2020-11-07 02:20:08.486,465,291.0
Georgia (EV: 16),2020-11-07 01:40:56.185,58,22.0
Georgia (EV: 16),2020-11-07 01:28:19.231,153,85.0
Georgia (EV: 16),2020-11-07 01:23:52.527,336,175.0
Georgia (EV: 16),2020-11-07 01:05:24.698,46,13.0
Georgia (EV: 16),2020-11-07 00:43:16.391,210,130.0
Georgia (EV: 16),2020-11-07 00:16:18.632,1120,418.0
Georgia (EV: 16),2020-11-07 00:06:00.521,12,2.0
Georgia (EV: 16),2020-11-06 23:58:16.465,53,25.0
Georgia (EV: 16),2020-11-06 23:47:09.126,213,161.0
Georgia (EV: 16),2020-11-06 23:43:16.543,11,2.0
Georgia (EV: 16),2020-11-06 23:26:05.585,9,2.0
Georgia (EV: 16),2020-11-06 23:16:34.639,24,9.0
Georgia (EV: 16),2020-11-06 23:13:45.463,14,8.0
Georgia (EV: 16),2020-11-06 23:07:08.306,3,0.0
Georgia (EV: 16),2020-11-06 22:58:48.781,22,10.0
Georgia (EV: 16),2020-11-06 22:50:34.370,26,14.0
Georgia (EV: 16),2020-11-06 22:43:08.386,88,55.0
Georgia (EV: 16),2020-11-06 22:35:03.624,5,2.0
Georgia (EV: 16),2020-11-06 22:32:23.502,29,20.0
Georgia (EV: 16),2020-11-06 22:26:37.126,98,43.0
Georgia (EV: 16),2020-11-06 22:24:11.877,456,177.0
Georgia (EV: 16),2020-11-06 22:14:55.472,94,49.0
Georgia (EV: 16),2020-11-06 22:03:00.523,7151,4971.0
Georgia (EV: 16),2020-11-06 21:54:35.427,61,24.0
Georgia (EV: 16),2020-11-06 21:39:06.880,18,9.0
Georgia (EV: 16),2020-11-06 21:22:20.448,37,28.0
Georgia (EV: 16),2020-11-06 21:14:54.182,23,7.0
Georgia (EV: 16),2020-11-06 21:06:01.641,111,24.0
Georgia (EV: 16),2020-11-06 20:42:56.702,195,110.0
Georgia (EV: 16),2020-11-06 20:34:48.762,5,4.0
Georgia (EV: 16),2020-11-06 20:25:45.237,26,5.0
Georgia (EV: 16),2020-11-06 20:08:18.087,8,4.0
Georgia (EV: 16),2020-11-06 19:53:53.320,1,1.0
Georgia (EV: 16),2020-11-06 19:46:07.235,302,174.0
Georgia (EV: 16),2020-11-06 19:22:14.276,1,0.0
Georgia (EV: 16),2020-11-06 19:11:02.226,20,6.0
Georgia (EV: 16),2020-11-06 18:51:26.274,1,0.0
Georgia (EV: 16),2020-11-06 18:40:11.567,1,1.0
Georgia (EV: 16),2020-11-06 18:24:05.733,13,6.0
Georgia (EV: 16),2020-11-06 18:08:50.523,1,1.0
Georgia (EV: 16),2020-11-06 17:40:44.549,9,2.0
Georgia (EV: 16),2020-11-06 17:32:20.732,62,25.0
Georgia (EV: 16),2020-11-06 17:21:32.800,1,1.0
Georgia (EV: 16),2020-11-06 17:16:09.129,13,3.0
Georgia (EV: 16),2020-11-06 16:49:49.484,5,2.0
Georgia (EV: 16),2020-11-06 16:41:57.998,2,0.0
Georgia (EV: 16),2020-11-06 16:32:19.121,15,8.0
Georgia (EV: 16),2020-11-06 16:03:11.367,47,27.0
Georgia (EV: 16),2020-11-06 15:35:56.950,580,533.0
Georgia (EV: 16),2020-11-06 14:58:41.776,3,2.0
Georgia (EV: 16),2020-11-06 14:24:48.231,13,6.0
Georgia (EV: 16),2020-11-06 13:15:23.381,1,1.0
Georgia (EV: 16),2020-11-06 11:10:54.912,241,211.0
Georgia (EV: 16),2020-11-06 09:50:07.414,1843,1619.0
Georgia (EV: 16),2020-11-06 08:40:27.031,306,256.0
Georgia (EV: 16),2020-11-06 07:41:51.768,816,713.0
Georgia (EV: 16),2020-11-06 06:41:37.569,541,496.0
Georgia (EV: 16),2020-11-06 05:41:02.832,144,122.0
Georgia (EV: 16),2020-11-06 04:10:39.999,1375,672.0
Georgia (EV: 16),2020-11-06 03:29:41.124,34,28.0
Georgia (EV: 16),2020-11-06 03:06:46.463,337,222.0
Georgia (EV: 16),2020-11-06 02:33:32.159,1031,819.0
Georgia (EV: 16),2020-11-06 02:00:51.644,1337,1170.0
Georgia (EV: 16),2020-11-06 00:35:53.742,2831,1492.0
Georgia (EV: 16),2020-11-06 00:01:17.420,17356,11631.0
Georgia (EV: 16),2020-11-05 23:07:42.238,342,225.0
Georgia (EV: 16),2020-11-05 22:45:37.954,19,10.0
Georgia (EV: 16),2020-11-05 22:21:28.212,241,115.0
Georgia (EV: 16),2020-11-05 22:01:29.797,6305,4814.0
Georgia (EV: 16),2020-11-05 21:53:18.781,5,2.0
Georgia (EV: 16),2020-11-05 21:37:23.788,6,0.0
Georgia (EV: 16),2020-11-05 21:13:32.296,8,4.0
Georgia (EV: 16),2020-11-05 21:05:33.368,3,3.0
Georgia (EV: 16),2020-11-05 20:40:29.018,48,22.0
Georgia (EV: 16),2020-11-05 20:32:32.024,3590,1831.0
Georgia (EV: 16),2020-11-05 20:05:59.039,19,6.0
Georgia (EV: 16),2020-11-05 19:45:41.212,3,1.0
Georgia (EV: 16),2020-11-05 19:37:18.729,586,492.0
Georgia (EV: 16),2020-11-05 19:21:26.906,1,0.0
Georgia (EV: 16),2020-11-05 19:12:36.957,939,631.0
Georgia (EV: 16),2020-11-05 18:50:48.460,46,26.0
Georgia (EV: 16),2020-11-05 17:52:38.333,1,0.0
Georgia (EV: 16),2020-11-05 17:48:22.743,796,681.0
Georgia (EV: 16),2020-11-05 17:16:26.913,3805,2241.0
Georgia (EV: 16),2020-11-05 16:46:27.422,219,156.0
Georgia (EV: 16),2020-11-05 16:37:47.993,6130,4740.0
Georgia (EV: 16),2020-11-05 15:53:50.011,4,1.0
Georgia (EV: 16),2020-11-05 15:46:20.816,1199,823.0
Georgia (EV: 16),2020-11-05 14:50:38.384,264,134.0
Georgia (EV: 16),2020-11-05 14:10:28.150,2,0.0
Georgia (EV: 16),2020-11-05 13:45:38.021,1364,658.0
Georgia (EV: 16),2020-11-05 10:55:01.682,8468,6500.0
Georgia (EV: 16),2020-11-05 06:12:22.978,10461,8185.0
Georgia (EV: 16),2020-11-05 05:24:38.547,4344,3664.0
Georgia (EV: 16),2020-11-05 04:22:05.599,0,0.0
Georgia (EV: 16),2020-11-05 03:57:56.031,0,0.0
Georgia (EV: 16),2020-11-05 03:53:56.881,0,0.0
Georgia (EV: 16),2020-11-05 03:53:39.589,0,0.0
Georgia (EV: 16),2020-11-05 03:49:40.100,0,0.0
Georgia (EV: 16),2020-11-05 03:41:08.025,3128,2348.0
Georgia (EV: 16),2020-11-05 03:11:54.084,6682,5379.0
Georgia (EV: 16),2020-11-05 02:58:35.521,-1366,-659.0
Georgia (EV: 16),2020-11-05 02:51:15.131,-3242,-806.0
Georgia (EV: 16),2020-11-05 02:19:13.643,1414,1181.0
Georgia (EV: 16),2020-11-05 02:03:34.937,423,158.0
Georgia (EV: 16),2020-11-05 01:34:39.911,10,8.0
Georgia (EV: 16),2020-11-05 01:28:06.762,14511,10448.0
Georgia (EV: 16),2020-11-05 01:16:26.657,261,106.0
Georgia (EV: 16),2020-11-05 01:00:02.101,752,452.0
Georgia (EV: 16),2020-11-05 00:55:32.963,2796,2291.0
Georgia (EV: 16),2020-11-05 00:44:49.776,6580,2926.0
Georgia (EV: 16),2020-11-05 00:20:56.454,16690,13222.0
Georgia (EV: 16),2020-11-05 00:16:49.306,1610,1074.0
Georgia (EV: 16),2020-11-04 23:14:43.498,518,326.0
Georgia (EV: 16),2020-11-04 23:01:02.939,7324,5279.0
Georgia (EV: 16),2020-11-04 22:54:27.393,24030,15589.0
Georgia (EV: 16),2020-11-04 22:44:27.984,1128,934.0
Georgia (EV: 16),2020-11-04 22:27:15.940,4,2.0
Georgia (EV: 16),2020-11-04 22:12:35.528,1366,659.0
Georgia (EV: 16),2020-11-04 21:55:46.318,1638,633.0
Georgia (EV: 16),2020-11-04 21:45:13.182,16952,13381.0
Georgia (EV: 16),2020-11-04 21:37:45.330,575,245.0
Georgia (EV: 16),2020-11-04 21:29:17.571,691,573.0
Georgia (EV: 16),2020-11-04 21:12:19.926,343,161.0
Georgia (EV: 16),2020-11-04 20:53:17.620,9984,5225.0
Georgia (EV: 16),2020-11-04 20:48:16.492,11,5.0
Georgia (EV: 16),2020-11-04 20:37:49.641,1,1.0
Georgia (EV: 16),2020-11-04 20:14:42.157,4905,3006.0
Georgia (EV: 16),2020-11-04 19:44:32.496,5924,4906.0
Georgia (EV: 16),2020-11-04 19:36:47.711,811,276.0
Georgia (EV: 16),2020-11-04 19:33:35.022,80,39.0
Georgia (EV: 16),2020-11-04 19:28:48.570,291,159.0
Georgia (EV: 16),2020-11-04 19:13:03.482,499,192.0
Georgia (EV: 16),2020-11-04 18:40:57.265,4131,3516.0
Georgia (EV: 16),2020-11-04 17:57:21.547,2376,1975.0
Georgia (EV: 16),2020-11-04 17:44:28.196,2438,1342.0
Georgia (EV: 16),2020-11-04 17:41:18.740,247,119.0
Georgia (EV: 16),2020-11-04 17:16:47.676,19244,16805.0
Georgia (EV: 16),2020-11-04 16:37:07.239,3290,2545.0
Georgia (EV: 16),2020-11-04 16:35:11.828,502,294.0
Georgia (EV: 16),2020-11-04 14:15:56.618,78,67.0
Georgia (EV: 16),2020-11-04 13:28:22.084,0,0.0
North Carolina (EV: 15),2020-11-10 18:37:24.918,156,69.0
North Carolina (EV: 15),2020-11-10 01:37:15.632,307,188.0
North Carolina (EV: 15),2020-11-09 23:51:44.894,412,268.0
North Carolina (EV: 15),2020-11-09 22:05:23.513,19,6.0
North Carolina (EV: 15),2020-11-09 21:52:34.171,151,78.0
North Carolina (EV: 15),2020-11-09 20:19:13.927,606,394.0
North Carolina (EV: 15),2020-11-09 17:17:21.054,99,42.0
North Carolina (EV: 15),2020-11-09 13:57:36.310,13,6.0
North Carolina (EV: 15),2020-11-07 23:49:24.584,199,113.0
North Carolina (EV: 15),2020-11-07 19:36:31.647,773,545.0
North Carolina (EV: 15),2020-11-07 01:40:56.185,182,97.0
North Carolina (EV: 15),2020-11-07 00:43:16.391,301,175.0
North Carolina (EV: 15),2020-11-06 23:26:05.585,117,94.0
North Carolina (EV: 15),2020-11-06 23:07:08.306,312,165.0
North Carolina (EV: 15),2020-11-06 21:06:01.641,390,208.0
North Carolina (EV: 15),2020-11-05 18:03:08.899,2233,0.0
North Carolina (EV: 15),2020-11-05 16:46:27.422,1989,0.0
North Carolina (EV: 15),2020-11-04 21:41:50.861,220,0.0
North Carolina (EV: 15),2020-11-04 13:28:22.084,0,0.0
Nevada (EV: 6),2020-11-10 17:13:34.033,477,285.0
Nevada (EV: 6),2020-11-09 17:17:21.054,11002,6502.0
Nevada (EV: 6),2020-11-09 01:31:25.474,11584,7275.0
Nevada (EV: 6),2020-11-08 17:15:50.690,16371,10248.0
Nevada (EV: 6),2020-11-08 02:01:07.771,8361,5148.0
Nevada (EV: 6),2020-11-07 17:23:29.612,1542,1097.0
Nevada (EV: 6),2020-11-07 17:14:33.445,16348,9441.0
Nevada (EV: 6),2020-11-06 23:26:05.585,8713,5665.0
Nevada (EV: 6),2020-11-06 18:08:50.523,1778,772.0
Nevada (EV: 6),2020-11-06 17:53:42.779,581,191.0
Nevada (EV: 6),2020-11-06 17:05:29.263,23,8.0
Nevada (EV: 6),2020-11-06 17:01:42.952,7,1.0
Nevada (EV: 6),2020-11-06 16:58:02.085,5507,1875.0
Nevada (EV: 6),2020-11-06 16:49:49.484,251,194.0
Nevada (EV: 6),2020-11-06 16:32:19.121,30322,20656.0
Nevada (EV: 6),2020-11-05 18:24:54.828,15,0.0
Nevada (EV: 6),2020-11-05 18:03:08.899,913,328.0
Nevada (EV: 6),2020-11-05 17:32:18.066,12189,6275.0
Nevada (EV: 6),2020-11-05 17:21:28.630,1019,327.0
Nevada (EV: 6),2020-11-05 17:16:26.913,995,366.0
Nevada (EV: 6),2020-11-05 17:12:52.812,0,0.0
Nevada (EV: 6),2020-11-05 17:09:07.250,14285,9416.0
Nevada (EV: 6),2020-11-04 13:28:22.084,0,0.0
Pennsylvania (EV: 20),2020-11-10 18:44:24.556,315,93.0
Pennsylvania (EV: 20),2020-11-10 18:37:24.918,3,1.0
Pennsylvania (EV: 20),2020-11-10 18:21:05.727,1997,1728.0
Pennsylvania (EV: 20),2020-11-10 17:30:23.467,437,174.0
